Micron BGA codes

D9HVB    MT18VDDF12872LDY-335F1
RW155    MT25QL01GBBA8E12-0SIT
RY128    MT25QL01GBBA8E12-0SITES
RW156    MT25QL01GBBA8E12-1SIT
RY129    MT25QL01GBBA8E12-1SITES
RW217    MT25QL01GBBA8E12E01-2SIT
RW256    MT25QL01GBBB1EW9-0SIT
RW248    MT25QL01GBBB8E12-0AAT
RW319    MT25QL01GBBB8E12-0AUT
RW185    MT25QL01GBBB8E12-0SIT
RW179    MT25QL01GBBB8E12-1SIT
RW264    MT25QL01GBBB8E12E01-2SIT
RW218    MT25QL01GBBB8ESF-0AAT
RY148    MT25QL01GBBB8ESF-0AATES
RW182    MT25QL01GBBB8ESF-0SIT
RW325    MT25QL01GBBB8ESFE01-2SIT
RW197    MT25QL02GCBA8E12-0SIT
RW133    MT25QL02GCBA8E12-1SIT
RY130    MT25QL02GCBA8E12-1SITES
RW293    MT25QL02GCBB8E12-0AAT
RW261    MT25QL02GCBB8E12-0SIT
RW186    MT25QL02GCBB8ESF-0SIT
RW125    MT25QL128ABA1E12-1SIT
RW127    MT25QL128ABA1E14-1SIT
RW126    MT25QL128ABA1ESE-0SIT
RW129    MT25QL128ABA1ESE-MSIT
RW198    MT25QL128ABA1ESF-0AAT
RY137    MT25QL128ABA1ESF-0AATES
RW124    MT25QL128ABA1ESF-0SIT
RWM01    MT25QL128ABA1EW7-0M01IT
RWM02    MT25QL128ABA1EW7-0M02IT
RWM03    MT25QL128ABA1EW7-0M03IT
RW135    MT25QL128ABA1EW7-0SIT
RW136    MT25QL128ABA1EW7-MSIT
RW137    MT25QL128ABA1EW9-0SIT
RW128    MT25QL128ABA1FSF-0SIT
RW159    MT25QL128ABA1FW9-0SIT
RW246    MT25QL128ABA8E12-0AAT
RW203    MT25QL128ABA8E12-0SIT
RW210    MT25QL128ABA8E12-1SIT
RW206    MT25QL128ABA8E14-0SIT
RW211    MT25QL128ABA8E14-1SIT
RW199    MT25QL128ABA8ESF-0AAT
RY138    MT25QL128ABA8ESF-0AATES
RW207    MT25QL128ABA8ESF-0SIT
RW330    MT25QL128ABB1ESE-0AUT
RW314    MT25QL128ABB1EW7-CAUT
RY212    MT25QL128ABB1EW7-CAUTES
RW315    MT25QL128ABB1EW7-CSIT
RY213    MT25QL128ABB1EW7-CSITES
RW318    MT25QL128ABB8E12-0AUT
RY216    MT25QL128ABB8E12-0AUTES
RW311    MT25QL128ABB8ESF-0AUT
RY209    MT25QL128ABB8ESF-0AUTES
RW200    MT25QL256ABA1ESF-0AAT
RY139    MT25QL256ABA1ESF-0AATES
RW160    MT25QL256ABA1ESF-0SIT
RW163    MT25QL256ABA1EW7-0SIT
RW291    MT25QL256ABA1EW9-0AAT
RW161    MT25QL256ABA1EW9-0SIT
RW245    MT25QL256ABA8E12-0AAT
RW326    MT25QL256ABA8E12-0AUT
RW292    MT25QL256ABA8E12-1SAT
RW162    MT25QL256ABA8E12-1SIT
RW165    MT25QL256ABA8E14-1SIT
RW201    MT25QL256ABA8ESF-0AAT
RY140    MT25QL256ABA8ESF-0AATES
RW164    MT25QL256ABA8ESF-0SIT
RW172    MT25QL256ABA8ESF-MSIT
RW119    MT25QL512ABA1E12-0SIT
RY112    MT25QL512ABA1E12-0SITES
RW118    MT25QL512ABA1ESF-0SIT
RY111    MT25QL512ABA1ESF-0SITES
RW122    MT25QL512ABA1ESF-MSIT
RY116    MT25QL512ABA1ESF-MSITES
RW121    MT25QL512ABA8E12-0SIT
RY114    MT25QL512ABA8E12-0SITES
RW123    MT25QL512ABA8E12-1SIT
